account_id,customer_id,created_at,status,account_branch,account_check_digit,account_number
830d1362-5fbe-5de8-a8d1-9769d36a6511,b123d835-1db5-5553-b989-efffb972b9c7,2019-11-27T22:02:48.840Z,active,7763,9,38218
fdcb0023-113e-5afa-b9be-5eb6060affec,61aeba09-ac08-509f-ad18-492ef242adcb,2019-04-02T12:42:01.740Z,active,7183,2,1684
4568c8ba-8de5-5302-97fe-6d55d24c18bb,47df616b-65d8-5fee-8443-351caa851c5d,2019-01-13T01:13:23.290Z,active,9161,3,47219
0ae5e9fe-9a79-53ae-81e8-8c0c8c9e097f,a9316e14-1edf-5ead-99c5-92b364e02997,2019-04-10T19:56:25.730Z,active,7799,5,81330
dd044068-8499-536d-b269-075368d1f811,af1bddff-70d7-5061-b84e-a1371e01e8f8,2019-05-26T16:44:47.680Z,active,2777,3,74464
2edeaef8-2aa0-5303-8777-b73f5ba645b7,d6a28e70-ce2b-5fe4-93df-89d17194187a,2019-11-25T03:14:47.190Z,active,5953,3,28514
03a7de27-48f0-54f8-9cc6-d75ccb0b12d5,99f9e0d3-deef-500b-a979-6ee1df930737,2019-04-28T01:47:31.760Z,active,9216,6,73956
76aecab4-dd3f-55df-bc95-9ecd8093548b,c8f8a8e4-7551-5b59-9bb4-6704d97ebe58,2019-11-06T05:40:08.960Z,active,4500,4,66271
b22a394c-76f4-5d69-8311-2863cbec7d67,339b73cf-cf44-56fb-a859-2b7469186bac,2019-07-28T09:37:49.460Z,active,9343,3,98623
adda6a9c-cf56-5ab6-b90c-fea3cd04c091,ef865c35-a1ab-54bb-831c-4d160aa74f70,2019-01-23T07:26:51.910Z,active,411,3,36527
648870b0-5ad4-5c1c-9ece-036a960ded8b,f6cc74f3-8ccf-5da9-95fb-1c86c22334fa,2019-06-17T02:37:08.900Z,active,5029,4,11102
34dbf4c6-ccb1-5c56-ba71-2b1e91f1c23b,f54a5e66-4205-54e7-930d-3668179208a6,2019-08-06T08:00:14.600Z,active,533,6,32546
501432b4-918a-532a-828d-eb4872d38d3b,56286fc8-846e-5bf5-a112-0c92fa499db0,2019-10-20T12:10:24.140Z,active,7262,0,51293
f46eb6d5-ae4d-59af-875d-cc330bd1d4fb,65c363ca-33f7-5b2c-975b-a725790472b0,2019-02-26T19:56:27.640Z,active,2522,9,82614
f8b15770-1039-5bc3-b6a0-13319394153e,72c56503-d69e-5cdc-9583-9e431f42a7a2,2019-08-11T16:33:19.080Z,active,4957,6,62670
a2794087-f883-5b2f-a49d-6321faca226e,0ddb3687-cce7-5e39-893f-09be7d54e85d,2019-06-04T17:06:29.550Z,active,6815,7,21328
a3b8779a-3caf-50e1-b5c1-f1c297987f52,701c95e8-5422-538f-ac81-3593abb17837,2019-04-28T23:30:24.930Z,active,8458,7,10165
ab3ad4c8-f6c6-51eb-9127-ad5a6613bef7,64df9ab9-81f8-5a0a-8090-84c7df044190,2019-03-29T03:35:32.650Z,active,7672,9,34613
5f8ed27e-b371-527e-88e7-ba4630a4413d,6e9503b7-ba8c-5641-8356-29d528fb6b51,2019-02-28T17:30:27.210Z,active,7269,4,1233
af0f1ac4-5bdf-5317-901d-900ed22ca888,3f0a94b2-93fd-54f8-8146-d31bfc6b4153,2019-04-25T14:32:56.520Z,active,2817,1,26588
