customer_id,first_name,last_name,customer_city,cpf,country_name
b123d835-1db5-5553-b989-efffb972b9c7,Janet,Ritter,1512698933146656256,85974914067,Brasil
61aeba09-ac08-509f-ad18-492ef242adcb,Tina,Lamaster,2215180425815138560,78347385617,Brasil
47df616b-65d8-5fee-8443-351caa851c5d,Anne,Worrall,1749955482489268736,40313783608,Brasil
a9316e14-1edf-5ead-99c5-92b364e02997,Anthony,Ryan,346784544127578816,57649649611,Brasil
af1bddff-70d7-5061-b84e-a1371e01e8f8,Mary,Newson,2263771903449998336,20746682301,Brasil
d6a28e70-ce2b-5fe4-93df-89d17194187a,Joan,Cook,1073152763485539328,81702214755,Brasil
99f9e0d3-deef-500b-a979-6ee1df930737,Jerry,Adan,2934702727673640448,32179416572,Brasil
c8f8a8e4-7551-5b59-9bb4-6704d97ebe58,Katrina,Rellihan,3012365176097625088,49013925405,Brasil
339b73cf-cf44-56fb-a859-2b7469186bac,Gwendolyn,Aaronson,963572295588270720,36221372029,Brasil
ef865c35-a1ab-54bb-831c-4d160aa74f70,Michael,Albright,1483895789715967488,31202518721,Brasil
f6cc74f3-8ccf-5da9-95fb-1c86c22334fa,Roberto,Stinebaugh,2569454591546378240,8287607125,Brasil
f54a5e66-4205-54e7-930d-3668179208a6,Valerie,Whitfield,3103398560085953024,21541008521,Brasil
56286fc8-846e-5bf5-a112-0c92fa499db0,Richard,Mack,3095079143055916544,46066401079,Brasil
65c363ca-33f7-5b2c-975b-a725790472b0,Fritz,Rodriguez,2949993263072931840,54243845505,Brasil
72c56503-d69e-5cdc-9583-9e431f42a7a2,Donna,Lewis,1957656960675214848,81335833940,Brasil
0ddb3687-cce7-5e39-893f-09be7d54e85d,Jerome,Penwell,2164285134530103296,24755718247,Brasil
701c95e8-5422-538f-ac81-3593abb17837,Craig,Koslow,1921225309723775488,84356993035,Brasil
64df9ab9-81f8-5a0a-8090-84c7df044190,Melissa,Mcleary,818251018164298240,51377040812,Brasil
6e9503b7-ba8c-5641-8356-29d528fb6b51,Virginia,House,1886604048862594048,43335223685,Brasil
3f0a94b2-93fd-54f8-8146-d31bfc6b4153,Daniel,Thach,1609544977886256640,96417821478,Brasil
7d173cf4-f959-5678-b34f-76c7fdcbbbc9,Blanca,Lopez,1795866970023794944,62075365917,Brasil
b8bbc88e-1e89-5efd-a4d3-b8e87630ace8,Lynette,Brock,963572295588270720,10899893995,Brasil
b2d87091-0b8f-552e-b073-347e0d4a686a,Diane,Christiansen,2603189803548619776,17494148181,Brasil
